"wu_name","node_name","start_blast","end_blast","start_blast_epoch","end_blast_epoch","ID","sent","received","diff_sent","diff_rec","diff_blast","diff_all","diff_server_client"
"blast500k_test_pub_fileFULL_gr_1083","IS24T-06XX297-DT","Tue 11/17/2015-20:34:32.29","Tue 11/17/2015-20:56:38.23",1447767272,1447768598,19370,1447767261,1447768633,11,35,1326,1372,46
"blast500k_test_pub_fileFULL_gr_1084","IS24T-06XX288-DT","Tue 11/17/2015-20:23:29.20","Tue 11/17/2015-20:40:38.30",1447766609,1447767638,19371,1447766575,1447767649,34,11,1029,1074,45
"blast500k_test_pub_fileFULL_gr_1085","IS24T-06XX291-DT","Tue 11/17/2015-20:21:31.88","Tue 11/17/2015-20:39:13.89",1447766491,1447767553,19372,1447766490,1447767580,1,27,1062,1090,28
"blast500k_test_pub_fileFULL_gr_1086","IS24T-06XX288-DT","Tue 11/17/2015-20:35:37.19","Tue 11/17/2015-21:01:21.69",1447767337,1447768881,19373,1447767276,1447768885,61,4,1544,1609,65
"blast500k_test_pub_fileFULL_gr_1087","IS24T-06XX266-DT","Tue 11/17/2015-20:27:16.44","Tue 11/17/2015-20:38:06.67",1447766836,1447767486,19374,1447766808,1447767503,28,17,650,695,45
"blast500k_test_pub_fileFULL_gr_1088","IS24T-06XX209-DT","Tue 11/17/2015-20:31:55.90","Tue 11/17/2015-21:05:39.52",1447767115,1447769139,19375,1447767130,1447769209,-15,70,2024,2079,55
"blast500k_test_pub_fileFULL_gr_1089","IS24T-06XX262-DT","Tue 11/17/2015-20:40:32.05","Tue 11/17/2015-20:56:08.62",1447767632,1447768568,19376,1447767600,1447768592,32,24,936,992,56
"blast500k_test_pub_fileFULL_gr_109","IS24T-06XX209-DT","Tue 11/17/2015-18:04:29.92","Tue 11/17/2015-18:39:36.33",1447758269,1447760376,18396,1447758292,1447760445,-23,69,2107,2153,46
"blast500k_test_pub_fileFULL_gr_1090","IS24T-06XX297-DT","Tue 11/17/2015-20:31:01.10","Tue 11/17/2015-20:51:06.37",1447767061,1447768266,19377,1447767049,1447768298,12,32,1205,1249,44
"blast500k_test_pub_fileFULL_gr_1091","IS24T-06XX296-DT","Tue 11/17/2015-20:24:52.31","Tue 11/17/2015-20:41:33.71",1447766692,1447767693,19378,1447766679,1447767721,13,28,1001,1042,41
"blast500k_test_pub_fileFULL_gr_1092","IS24T-06XX280-DT","Tue 11/17/2015-20:36:34.45","Tue 11/17/2015-20:49:14.05",1447767394,1447768154,19379,1447767533,1447768336,-139,182,760,803,43
"blast500k_test_pub_fileFULL_gr_1093","IS24T-06XX264-DT","Tue 11/17/2015-20:36:03.97","Tue 11/17/2015-20:56:50.93",1447767363,1447768610,19380,1447767341,1447768626,22,16,1247,1285,38
"blast500k_test_pub_fileFULL_gr_1094","IS24T-06XX263-DT","Tue 11/17/2015-20:27:38.56","Tue 11/17/2015-20:45:04.81",1447766858,1447767904,19381,1447766832,1447767923,26,19,1046,1091,45
